subject,mag_prec1,risk_diff1,risk_prec1,mag_noise1,risk_noise1,int_mag1,int_diff1,int_risk1,riskav_mag1,riskav_risk1,risk1_prior,risk1_beta,risk1_bias,mag_prec2,risk_diff2,risk_prec2,mag_noise2,risk_noise2,int_mag2,int_diff2,int_risk2,riskav_mag2,riskav_risk2,risk2_prior,risk2_beta,risk2_bias,mag_prec3,risk_diff3,risk_prec3,mag_noise3,risk_noise3,int_mag3,int_diff3,int_risk3,riskav_mag3,riskav_risk3,risk3_prior,risk3_beta,risk3_bias,NF1_L_r,NF1_R_r,NF2_L_r,NF2_R_r,NINS_L_r,NINS_R_r,NPC1_L_r,NPC1_R_r,NPC2_L_r,NPC2_R_r,NPC3_L_r,NPC3_R_r,NTO_L_r,NTO_R_r,NF1_L_c,NF1_R_c,NF2_L_c,NF2_R_c,NINS_L_c,NINS_R_c,NPC1_L_c,NPC1_R_c,NPC2_L_c,NPC2_R_c,NPC3_L_c,NPC3_R_c,NTO_L_c,NTO_R_c,NF1_L_log,NF1_R_log,NF2_L_log,NF2_R_log,NINS_L_log,NINS_R_log,NPC1_L_log,NPC1_R_log,NPC2_L_log,NPC2_R_log,NPC3_L_log,NPC3_R_log,NTO_L_log,NTO_R_log,mag_precTest,risk_coinTest,risk_symbolTest,risk_symcoinTest,symcoin_symPrec,symcoin_Precdiff,symcoin_coinPrec,symcoin_symNoise,symcoin_coinNoise,symcoin_symInt,symcoin_diffint,symcoin_coinInt,symcoin_symprior,symcoin_coinprior,symcoin_symbeta,symcoin_coinbeta,symcoin_symbias,symcoin_coinbias,symcoin_symrnp,symcoin_coinrnp,NPC1_L_sd_run,NPC1_R_sd_run,NPC1_L_r_run,NPC1_R_r_run,NPC1_L_sd_trial,NPC1_R_sd_trial,NPC1_L_r_trial,NPC1_R_r_trial
1,3.632905,2.35984,5.992745,0.194639491,0.117993804,-0.020592,3.39605,3.375458,1.005684286,0.569351432,0.109113252,0.460956763,2.169400863,3.435145,1.76E-02,3.45E+00,0.205844813,2.05E-01,-0.01682405,2.69E+00,2.67E+00,1.004909637,0.461632665,0.145637502,3.35E-01,2.981350376,3.462265,5.11E-01,3.97E+00,0.204232426,1.78E-01,-0.0261123,2.72E+00,2.69E+00,1.007570483,0.508081923,0.140367566,3.83E-01,2.608075614,0.408831048,0.392764771,0.124103677,0.234196105,0.353545886,-0.170180353,0.448850778,0.435563248,0.657821992,0.345883434,0.417067638,0.512403153,0.350428132,0.600558751,5.7721987,4.653293,2.2119641,1.149421,10.148326,32.115376,3.1624331,1.4557766,3.5678692,5.39447,1.7729448,2.639994,4.7956095,5.941614,1.7530531,1.5375751,0.7938809,0.13925831,2.3173087,3.4693348,1.1513417,0.37553948,1.2719686,1.6853744,0.5726419,0.9707766,1.5677009,1.7819809,3.42698,3.42E+00,5.840685,3.94E+00,5.283915,-1.52E+00,3.761145,0.133822513,0.188003063,2.99673,-1.27E-01,2.87E+00,0.122966518,0.135020539,0.457799495,0.340276408,2.184362394,2.938787341,0.567144035,0.466256745,0.722696722,0.453235865,0.448,0.433,1.446258092,1.707575276,0.218,0.233
2,3.39896,1.97421,5.37317,0.208036217,0.131599555,0.1176045,3.110265,3.2278695,0.965991598,0.548406548,0.114814417,0.432196967,2.313759874,3.38174,8.99E-01,4.28E+00,0.209095549,1.65E-01,0.1009465,2.24E+00,2.34E+00,0.970590663,0.578442391,0.157104331,0.47550195,2.103040797,3.425095,1.43E+00,4.85E+00,0.206448808,1.46E-01,0.121166,2.64E+00,2.76E+00,0.965242462,0.566076954,0.133564665,0.455606767,2.194875213,0.002628077,0.027456961,0.685575887,0.146165862,0.208962765,0.308202804,0.634239336,0.442304675,0.300603897,0.39520526,0.503716663,0.038979171,0.677410974,0.270066278,6.0439982,4.1382723,3.1706152,6.3028245,4.8375907,34.38617,5.2927155,3.017207,5.244677,6.4859185,2.7945068,1.8805856,6.9882784,4.1189957,1.7990657,1.4202784,1.1539257,1.8409978,1.5764169,3.5376544,1.6663314,1.1043315,1.6572137,1.8696334,1.0276556,0.6315832,1.9442343,1.4156094,3.256395,4.22E+00,5.297695,4.80E+00,5.21869,-6.32E-01,4.5864165,0.135495073,0.154174132,3.095185,-6.18E-01,2.48E+00,0.119560006,0.148330374,0.437765961,0.480689289,2.284325619,2.080345919,0.552613653,0.582669342,0.918727273,0.904473108,0.631,0.454,2.466843507,2.43469116,0.215,0.281
3,2.65746,-1.145165,1.512295,0.266083697,0.467571989,0.163258,2.339725,2.502983,0.940415152,0.191075026,0.201685472,0.156872103,6.37461972,2.711355,-1.47E+00,1.24E+00,0.260794614,5.69E-01,0.156094,2.04E+00,2.19E+00,0.944055354,0.171310337,0.236521175,0.147331538,6.787413022,2.694005,-1.43E+00,1.26E+00,0.26247419,5.59E-01,0.160357,2.08E+00,2.24E+00,0.942213254,0.170788212,0.231705656,0.146619684,6.820366652,0.392641726,0.284514949,0.284757127,0.192168117,-0.03287035,-0.165616403,0.01101264,0.095163281,0.136024204,0.44209021,0.498045888,0.124106149,0.088248837,-0.13059935,4.9167643,5.833578,9.583912,7.209262,4.628122,30.744001,4.4605703,2.6485748,3.565366,3.370787,2.3073437,1.9814389,4.9368815,10.321536,1.5926507,1.7636305,2.2600858,1.9753666,1.5321511,3.425695,1.4952767,0.9740217,1.2712667,1.2151462,0.83609694,0.6838233,1.5967338,2.3342326,2.826185,1.25E+00,1.549675,1.27E+00,1.556275,-5.09E-01,1.0475205,0.454358504,0.675029063,2.49588,-4.78E-01,2.02E+00,0.199693514,0.266462513,0.161893623,0.13481448,6.176895559,7.417600859,0.201140311,0.145746577,1.009783129,0.727950029,0.004,0.117,4.009574633,3.752295493,0.01,0.119
4,2.385795,1.85096,4.236755,0.296382037,0.166898199,-0.1135975,2.410055,2.2964575,1.048765867,0.581565212,0.160031992,0.479007198,2.087651299,2.383075,6.32E-01,3.01E+00,0.296720322,2.35E-01,-0.103071,2.39E+00,2.29E+00,1.044200229,0.46851548,0.169102428,0.341152658,2.93123907,2.372775,9.55E-01,3.33E+00,0.298008358,2.12E-01,-0.111985,2.28E+00,2.16E+00,1.048327245,0.521911402,0.173430826,0.400924404,2.494235798,0.427839893,0.387226172,0.399238267,0.247136366,0.033575116,-0.194172189,0.016140181,0.110244667,0.206564096,0.19518578,0.145312472,0.194372915,0.326885182,-0.07689153,3.3143058,8.974394,2.4810069,3.1601477,5.9627557,36.171715,2.905376,2.800419,2.4219053,4.331021,6.1717734,1.2141113,5.0507584,10.2775955,1.1982481,2.1943753,0.90866446,1.1506188,1.7855327,3.5882773,1.0665628,1.0297691,0.88455456,1.4658033,1.8199862,0.19401239,1.6195384,2.3299663,2.310595,3.07E+00,4.37585,3.38E+00,4.28751,-1.17E+00,3.114245,0.16492248,0.227055605,2.311415,3.02E-03,2.31E+00,0.158963773,0.166379374,0.481608696,0.349361098,2.076374466,2.86236792,0.583270464,0.475600288,0.91596876,0.799464239,0.062,0.138,2.269148838,2.12280313,0.1,0.09
5,2.579205,-0.3632735,2.2159315,0.274156874,0.319101372,-0.127531,1.04068,0.913149,1.050688703,0.662268917,0.416441318,0.63005982,1.587150883,2.65711,-5.70E-01,2.09E+00,0.266118746,3.39E-01,-0.124153,1.24E+00,1.12E+00,1.047833632,0.585131049,0.328019355,0.483542201,2.06807182,2.633055,-5.66E-01,2.07E+00,0.268549947,3.42E-01,-0.1238125,1.09E+00,9.65E-01,1.048145461,0.627129052,0.382934266,0.55628671,1.797634173,0.239344424,0.272023575,-0.001489815,0.329427721,0.036459268,-0.004826229,0.105211145,0.377448188,0.465773217,0.142818137,0.178140012,0.184173428,0.142583397,0.001794284,7.0544205,7.29074,6.0699825,1.1895248,8.873672,36.066975,9.776928,2.3029027,5.4510393,11.308047,13.36383,2.6289577,4.716927,11.644675,1.9536544,1.986605,1.8033557,0.17355387,2.1830885,3.5853777,2.2800252,0.83417034,1.6958063,2.4255147,2.5925517,0.9665875,1.5511576,2.454849,2.66566,2.13E+00,2.262235,2.09E+00,2.395245,-4.71E-01,1.92426,0.295212716,0.367469459,1.004805,-2.52E-02,9.80E-01,0.376222886,0.374916972,0.618921054,0.510030845,1.61571495,1.960665731,0.657375502,0.601059122,1.858911149,0.428763624,0.24,0.472,3.312891607,3.41079321,0.015,0.161
6,2.6901,-1.3283,1.3618,0.262855203,0.519244222,-0.108433,1.41347,1.305037,1.041131567,0.383537581,0.316530786,0.270930318,3.69098596,2.772145,-1.29E+00,1.48E+00,0.255075684,4.78E-01,-0.1064215,1.43E+00,1.33E+00,1.039135987,0.408071978,0.304588363,0.288783627,3.462800198,2.73506,-1.39E+00,1.35E+00,0.258534285,5.24E-01,-0.1048455,1.35E+00,1.25E+00,1.039078117,0.396995118,0.327008125,0.280292066,3.567707128,0.672683475,0.63729927,0.694549256,0.078226347,-0.098663647,0.016286637,0.491271386,0.397615624,0.586723133,0.278190256,0.537240843,0.286321574,0.497406345,0.136355107,1.5684847,2.9893816,1.3969156,4.743055,12.04025,34.237137,2.4939501,3.0176454,2.6045127,4.381052,2.228696,2.9291608,4.725607,3.573251,0.45010996,1.0950665,0.33426663,1.5566814,2.4882553,3.533311,0.91386783,1.1044768,0.9572456,1.4772888,0.8014167,1.074716,1.552996,1.2734759,2.860355,1.51E+00,1.380055,1.37E+00,1.478465,-1.92E-01,1.286186,0.478270897,0.549770236,1.37223,-2.30E-01,1.14E+00,0.298060399,0.353358519,0.279737855,0.292342424,3.574775396,3.420646195,0.395286259,0.411425476,0.905642691,0.964107238,0.501,0.468,2.727694209,1.978167054,0.158,0.213
7,2.84541,-0.745711,2.099699,0.248507871,0.336765785,-0.107176,2.630615,2.523439,1.038384642,0.30064958,0.176785355,0.216038589,4.628802679,2.868515,-1.56E+00,1.31E+00,0.246506217,5.39E-01,-0.102713,2.40E+00,2.30E+00,1.036455821,0.173627277,0.224729718,0.148093331,6.752498514,2.87581,-1.25E+00,1.62E+00,0.24588091,4.36E-01,-0.1062715,2.41E+00,2.30E+00,1.037644861,0.241909395,0.206402648,0.183078683,5.462132378,0.476018917,0.39543461,0.621804722,0.226379119,0.413695615,0.234675315,0.7351471,0.40899794,0.502735322,0.365105796,0.34531612,0.332491804,0.42217238,0.349547126,2.3235018,5.8670382,2.248184,1.3978277,4.1820283,37.713505,5.1166368,2.8625479,3.2054203,5.477645,4.9323335,1.5507176,5.0732074,3.8969703,0.84307545,1.7693499,0.8101228,0.33491942,1.4307964,3.6300182,1.6324973,1.051712,1.1648432,1.7006752,1.5958122,0.43871778,1.6239733,1.3601995,2.989635,1.33E+00,2.12497,1.65E+00,2.11411,-9.03E-01,1.211484,0.334470194,0.58366993,2.50945,-3.41E-01,2.17E+00,0.176976664,0.240418477,0.21873392,0.145056861,4.571764644,6.893848325,0.305135092,0.166976827,0.819988587,0.772176109,0.758,0.418,1.286143783,1.807551633,0.291,0.166
8,3.2817,1.292545,4.574245,0.215469659,0.15458437,-0.07693165,2.095015,2.01808335,1.023719559,0.643274383,0.184865154,0.588501297,1.699231598,3.26506,2.43E-01,3.51E+00,0.216567776,2.02E-01,-0.06482875,1.87E+00,1.81E+00,1.020053729,0.597422964,0.202865171,0.502136926,1.991488672,3.27792,5.99E-01,3.88E+00,0.215718133,1.82E-01,-0.07009175,1.93E+00,1.86E+00,1.02161325,0.61958869,0.198121454,0.542335173,1.843878194,0.255376551,0.143561616,0.001239068,0.177848277,0.178435337,-0.016122687,0.383255823,0.434821456,0.243224789,0.151956804,0.31365864,0.370771387,0.104356742,0.194121034,9.777858,6.917521,4.327061,3.870896,16.927498,34.156494,5.4289894,4.1674175,11.081903,14.247598,5.6691732,5.4502096,3.3805923,3.911512,2.2801204,1.9340575,1.4648886,1.3534861,2.8289394,3.5309527,1.691753,1.4272965,2.4053135,2.6565883,1.7350433,1.695654,1.218051,1.363924,3.22982,3.49E+00,4.51999,3.88E+00,4.48355,-9.26E-01,3.5571355,0.157711363,0.19878545,1.981045,-1.89E-01,1.79E+00,0.188260974,0.205020058,0.587617577,0.51543595,1.701787078,1.940105263,0.642847714,0.604276314,1.281202257,0.931920606,0.4,0.47,2.287437229,2.010553972,0.229,0.201
9,2.579285,-0.0496325,2.5296525,0.274148371,0.27952724,0.13001,2.70045,2.83046,0.950843834,0.326634791,0.153653172,0.232044322,4.309521523,2.650735,-3.48E-01,2.30E+00,0.26675876,3.07E-01,0.13647,2.15E+00,2.29E+00,0.949819005,0.36995948,0.18251446,0.261142914,3.829320828,2.618825,-3.04E-01,2.32E+00,0.270009176,3.05E-01,0.139736,2.32E+00,2.46E+00,0.948040287,0.346229335,0.173598494,0.244690528,4.086794898,0.683376101,0.450248612,0.416781196,0.286066829,0.25333226,-0.284801578,0.590600633,0.466671643,0.674956592,0.615730637,0.460890646,0.607244354,0.42991309,0.303661687,4.22371,4.439448,5.0434146,8.941663,9.720331,34.521328,4.4541683,6.065628,5.318574,4.458557,11.189136,5.979323,8.532114,15.855323,1.4407139,1.49053,1.6180834,2.1907215,2.2742198,3.5415773,1.4938403,1.802638,1.6712052,1.4948252,2.4149432,1.7883073,2.1438372,2.7635052,2.639095,2.33E+00,2.553205,2.34E+00,2.58387,-3.44E-01,2.2402635,0.273661903,0.315635541,2.81297,-6.06E-01,2.21E+00,0.15314868,0.188835089,0.238491366,0.263583002,4.193023912,3.793871357,0.33666549,0.373427816,1.254722508,1.829717059,0.498,0.37,2.714259167,3.594924662,0.28,0.154
10,2.623315,2.945225,5.56854,0.269547035,0.126982437,-0.0638606,3.22932,3.1654594,1.024642195,0.56640036,0.116433179,0.456742787,2.189416074,2.549735,7.74E-01,3.32E+00,0.277325597,2.13E-01,-0.07655435,2.26E+00,2.18E+00,1.030479712,0.519071659,0.172245062,0.395381192,2.529204775,2.583685,1.56E+00,4.14E+00,0.273681498,1.71E-01,-0.0580051,2.60E+00,2.55E+00,1.022704441,0.540764998,0.145823324,0.421032686,2.375112509,0.345770708,0.258501201,-0.158754887,0.114465868,-0.252262274,-0.053553517,-0.049821951,-0.172045381,-0.039925216,-0.41159976,-0.01691116,0.122670012,0.175282154,0.167682413,3.038913,3.6128159,8.02318,5.5741005,4.8866796,28.454285,3.750626,3.7055976,12.176489,3.498231,4.7567487,2.78179,8.749785,3.2886562,1.1114999,1.2844875,2.0823348,1.718131,1.586513,3.3482988,1.3219228,1.3098445,2.499507,1.2522573,1.5595644,1.0230947,2.1690292,1.190479,2.45118,3.40E+00,5.717965,4.20E+00,5.124895,-1.37E+00,3.75218,0.137974882,0.188452255,2.895115,-4.65E-01,2.43E+00,0.127244242,0.154170396,0.459606597,0.400934599,2.175773815,2.494172372,0.56841013,0.523310549,1.310958089,0.963249142,-0.082,-0.201,2.717547605,2.664111769,-0.035,-0.065
11,3.31628,0.515774,3.832054,0.213222883,0.184524222,0.2729755,3.872695,4.1456705,0.920982939,0.338971138,0.103692514,0.239995965,4.166736711,3.2968,-4.92E-01,2.80E+00,0.214482765,2.52E-01,0.2672415,2.84E+00,3.11E+00,0.922137553,0.329785499,0.139381263,0.234256243,4.268829665,3.329315,-8.34E-02,3.25E+00,0.212388068,2.18E-01,0.2679825,3.30E+00,3.56E+00,0.922662485,0.333517229,0.121350763,0.236562343,4.227215493,0.075553912,0.456053586,0.369475457,0.5205547,0.232602449,-0.150127456,0.374471482,0.394173611,-0.009105794,0.334355764,0.561597452,-0.099477389,-0.009925692,0.182160223,4.812945,10.399902,2.9875777,1.8894967,12.188748,37.107037,3.6725352,1.0079844,1.9349024,4.060611,1.2990402,2.88836,8.437784,10.797055,1.5713091,2.3417964,1.0944629,0.6363105,2.5005133,3.6138067,1.3008822,0.007952693,0.6600569,1.4013335,0.26162568,1.0606889,2.1327198,2.3792734,3.37106,2.74E+00,3.73888,3.19E+00,3.62998,-6.58E-01,2.972246,0.19479633,0.237903182,3.91654,-6.07E-01,3.31E+00,0.109658284,0.131178666,0.240640526,0.23315038,4.155576029,4.289077293,0.339954809,0.328373206,1.067136502,0.437910516,0.432,0.392,2.437937028,1.833127333,0.195,0.253
12,3.59533,-1.161125,2.434205,0.19667368,0.29048777,0.158166,1.170665,1.328831,0.956961549,0.57932052,0.276649252,0.475613859,2.102545966,3.551935,-1.89E+00,1.66E+00,0.199076498,4.25E-01,0.1041345,5.73E-01,6.77E-01,0.971107912,0.665265026,0.564312068,0.638079079,1.567203868,3.574015,-1.68E+00,1.90E+00,0.197846618,3.73E-01,0.1394805,7.53E-01,8.93E-01,0.961725437,0.624269714,0.413349705,0.551177922,1.814296182,0.138116402,0.224110801,0.281382231,0.122082742,0.281483125,-0.035702757,0.196281915,0.387701407,0.040727146,0.142172663,0.219584757,0.0614768,0.097825889,0.564724424,3.9430175,5.186357,2.3743424,2.910763,4.898347,31.927652,3.5293562,2.6729913,4.5729046,5.6956286,2.5971377,4.8503666,9.878051,6.861619,1.3719463,1.6460315,0.8647205,1.0684153,1.5888978,3.4634724,1.2611154,0.98319817,1.5201486,1.739699,0.95440996,1.5790542,2.2903152,1.9259434,3.94477,1.62E+00,2.373545,1.87E+00,2.313095,-8.14E-01,1.499387,0.30569725,0.471597247,1.22105,-6.78E-01,5.43E-01,0.300750558,0.751558859,0.491843712,0.717490675,2.033166177,1.393746336,0.589850716,0.6963739,1.003445615,0.783409575,0.167,0.356,1.612276158,1.88096602,0.186,0.186
13,2.928,3.03632,5.96432,0.241498218,0.118556144,0.078308,3.545125,3.623433,0.973609933,0.544701027,0.102421782,0.42737371,2.339872521,2.79235,3.22E-01,3.11E+00,0.253229997,2.27E-01,0.0920496,2.87E+00,2.96E+00,0.967572499,0.386410055,0.139186074,0.273233871,3.659868356,2.80873,8.82E-01,3.69E+00,0.251753206,1.92E-01,0.0832493,2.79E+00,2.87E+00,0.97079546,0.459016777,0.135715336,0.33317237,3.001449368,0.046692177,0.051704223,0.284989163,0.086622471,0.135096702,-0.038632717,-0.12939254,0.033920979,0.324023453,0.300267908,0.335306192,-0.017045572,0.156280243,-0.078340028,8.9724655,11.082646,9.188775,16.750223,15.654979,40.403748,6.536943,7.2294683,6.896086,10.75045,6.697097,7.7261534,12.068573,9.966731,2.1941605,2.4053805,2.2179825,2.8184116,2.750789,3.6989226,1.8774697,1.9781655,1.930954,2.3749475,1.9016742,2.0446112,2.4906049,2.2992527,2.719785,3.13E+00,5.963425,3.72E+00,5.37444,-1.78E+00,3.59662,0.131568458,0.196603139,3.28337,4.26E-02,3.33E+00,0.113111039,0.122836605,0.424991745,0.280766192,2.352986878,3.561682388,0.542849487,0.396632295,1.594569877,1.92130685,-0.156,0.032,3.363031552,3.637338438,-0.022,-0.104
14,2.63853,0.787865,3.426395,0.267992701,0.20637048,-0.01857585,4.403385,4.38480915,1.007065068,0.278116546,0.104115286,0.202886819,4.928856406,2.6385,-3.23E-01,2.32E+00,0.267995748,3.05E-01,-0.029725,2.82E+00,2.79E+00,1.01132957,0.299328177,0.15997283,0.215748637,4.635023482,2.634975,4.31E-02,2.68E+00,0.268354266,2.64E-01,-0.02458875,3.37E+00,3.35E+00,1.009375358,0.286766109,0.135123298,0.207588538,4.817221655,0.377822773,0.221406938,0.131226908,0.191729276,0.465294209,-0.049471427,0.258993969,-0.005646999,0.270149752,0.081641016,-0.04866319,0.112939133,-0.03873716,0.402040543,10.5356,12.766229,10.539996,14.347417,8.887559,37.431118,10.275474,7.2409673,17.201223,14.280847,9.00664,10.943453,7.4816527,6.9351034,2.35476,2.5468032,2.3551772,2.66357,2.1846523,3.6225023,2.3297598,1.9797548,2.8449805,2.6589193,2.197962,2.3927414,2.0124538,1.9365959,2.618845,2.35E+00,3.542795,2.72E+00,3.16026,-5.89E-01,2.5712485,0.223749559,0.275005228,4.038235,-9.49E-01,3.09E+00,0.112988295,0.144380568,0.203188127,0.216077177,4.921547404,4.627976056,0.278644826,0.300714113,2.884938209,1.550919633,0.326,0.037,2.954420813,3.437275258,0.131,0.112
15,3.443715,0.181454,3.625169,0.20533255,0.195054846,-0.0140845,3.37516,3.3610755,1.00409829,0.395679786,0.121649556,0.28003808,3.570942925,3.501035,-1.73E-01,3.33E+00,0.201970783,2.12E-01,-0.05092525,2.04E+00,1.99E+00,1.014652075,0.550494977,0.186084496,0.435174227,2.297930203,3.44195,-4.58E-01,2.98E+00,0.205437842,2.37E-01,-0.03208765,2.29E+00,2.26E+00,1.009366111,0.469007649,0.171153334,0.342764092,2.917458461,0.412610725,0.324779049,0.603948708,0.616326754,0.221249304,0.014496944,0.167039699,0.343194114,0.583884258,0.524003045,-0.010669791,0.491336274,0.364704646,0.528518587,10.16199,4.2775555,2.0905962,1.5103477,3.7821262,31.403868,3.1262205,1.3140866,3.500666,2.1025424,1.785846,2.47074,4.8268824,6.661483,2.3186543,1.4533817,0.7374493,0.4123399,1.3302864,3.4469311,1.1398247,0.2731418,1.2529532,0.74314725,0.5798923,0.9045177,1.5742007,1.8963422,3.534945,3.28E+00,3.59035,2.98E+00,3.45757,-1.60E-01,3.2975175,0.204509751,0.214436097,3.14929,-1.17E+00,1.98E+00,0.129133753,0.186989033,0.285052877,0.431944107,3.508121054,2.315114347,0.402186601,0.548213723,0.788994769,0.362775244,0.179,0.346,2.337722899,1.570421833,0.173,0.133
