subject,mag_prec1,risk_diff1,risk_prec1,mag_noise1,risk_noise1,int_mag1,int_diff1,int_risk1,riskav_mag1,riskav_risk1,risk1_prior,risk1_beta,risk1_bias,mag_prec2,risk_diff2,risk_prec2,mag_noise2,risk_noise2,int_mag2,int_diff2,int_risk2,riskav_mag2,riskav_risk2,risk2_prior,risk2_beta,risk2_bias,mag_prec3,risk_diff3,risk_prec3,mag_noise3,risk_noise3,int_mag3,int_diff3,int_risk3,riskav_mag3,riskav_risk3,risk3_prior,risk3_beta,risk3_bias,NF1_L_r,NF1_R_r,NF2_L_r,NF2_R_r,NINS_L_r,NINS_R_r,NPC1_L_r,NPC1_R_r,NPC2_L_r,NPC2_R_r,NPC3_L_r,NPC3_R_r,NTO_L_r,NTO_R_r,NF1_L_c,NF1_R_c,NF2_L_c,NF2_R_c,NINS_L_c,NINS_R_c,NPC1_L_c,NPC1_R_c,NPC2_L_c,NPC2_R_c,NPC3_L_c,NPC3_R_c,NTO_L_c,NTO_R_c,NF1_L_log,NF1_R_log,NF2_L_log,NF2_R_log,NINS_L_log,NINS_R_log,NPC1_L_log,NPC1_R_log,NPC2_L_log,NPC2_R_log,NPC3_L_log,NPC3_R_log,NTO_L_log,NTO_R_log,mag_precTest,risk_coinTest,risk_symbolTest,risk_symcoinTest,symcoin_symPrec,symcoin_Precdiff,symcoin_coinPrec,symcoin_symNoise,symcoin_coinNoise,symcoin_symInt,symcoin_diffint,symcoin_coinInt,symcoin_symprior,symcoin_coinprior,symcoin_symbeta,symcoin_coinbeta,symcoin_symbias,symcoin_coinbias,symcoin_symrnp,symcoin_coinrnp,NPC1_L_sd_run,NPC1_R_sd_run,NPC1_L_r_run,NPC1_R_r_run,NPC1_L_sd_trial,NPC1_R_sd_trial,NPC1_L_r_trial,NPC1_R_r_trial
16,3.33053,1.96748,5.29801,0.212310588,0.133466487,-0.0768387,4.221115,4.1442763,1.023339207,0.457383702,0.094074739,0.331918281,3.012789761,3.21336,-1.45E-02,3.20E+00,0.220052151,2.21E-01,-0.0980853,2.20E+00,2.10E+00,1.030994858,0.518795299,0.178790797,0.395585656,2.527897524,3.254385,6.12E-01,3.87E+00,0.217278159,1.83E-01,-0.08520405,2.85E+00,2.77E+00,1.026527047,0.488575477,0.137899195,0.362177315,2.761078504,0.66421597,0.657993801,0.574853202,0.301663577,0.171006611,-0.099282019,0.528887492,0.62479438,0.573365039,0.462950311,0.61366096,0.60215236,0.465890281,0.125438226,3.4585276,2.5200782,8.028325,4.714927,6.672603,35.264874,2.5767214,2.160383,3.8170567,5.390805,2.3349473,1.6258911,6.7372055,5.164309,1.2408429,0.92428994,2.0829759,1.5507334,1.89801,3.5628874,0.9465178,0.7702855,1.3394796,1.6846946,0.8479893,0.48605603,1.9076452,1.6417713,3.20874,3.19E+00,5.24201,3.87E+00,4.553475,-1.01E+00,3.547455,0.155289484,0.199327907,3.458335,-1.11E+00,2.35E+00,0.111918795,0.160238873,0.341855836,0.392558295,2.925209678,2.547392359,0.467903326,0.516129229,0.557782811,0.502514874,0.576,0.659,1.983267063,1.777831638,0.464,0.494
17,2.60735,0.8092665,3.4166165,0.271197492,0.206961121,0.026595,3.62053,3.647125,0.989851832,0.343878496,0.117330911,0.243227506,4.111377101,2.6578,3.28E-01,2.99E+00,0.266049658,2.37E-01,0.03831115,3.09E+00,3.13E+00,0.985688783,0.350768239,0.135916508,0.247491006,4.040550877,2.668025,5.71E-01,3.24E+00,0.265030043,2.18E-01,0.0387347,3.37E+00,3.41E+00,0.985586762,0.348561542,0.124844807,0.246968311,4.04910248,-0.124808815,0.294965471,0.477501939,0.186855787,-0.174018358,-0.187941707,0.431358099,0.005150263,0.162972693,0.399549224,-0.042136183,0.019071631,0.154552171,0.263580079,6.3549285,9.960458,6.358608,6.236286,8.466061,33.93355,3.0874033,1.7389225,5.1056757,4.2615333,4.0101147,2.148136,6.5890226,5.4898643,1.8492306,2.298623,1.8498094,1.8303849,2.1360652,3.5244043,1.1273304,0.55326563,1.6303529,1.4496291,1.3888198,0.76460046,1.8854051,1.7029035,2.59016,3.03E+00,3.48224,3.27E+00,3.52447,-4.16E-01,3.108494,0.200627834,0.227475678,3.71269,-4.75E-01,3.24E+00,0.114743571,0.131084585,0.246474635,0.24929028,4.057212625,4.011387844,0.348748665,0.352922797,0.495262783,0.620846995,0.501,0.007,3.421864119,3.446479214,0.223,0.099
18,3.14378,1.687935,4.831715,0.224922476,0.146346956,-0.0326187,5.447315,5.4146963,1.010429644,0.326065427,0.080363834,0.231683075,4.316241059,3.028925,-2.60E-01,2.77E+00,0.2334514,2.55E-01,-0.03950895,3.66E+00,3.62E+00,1.013129328,0.27041037,0.127055828,0.198885606,5.028015954,3.097895,7.71E-01,3.87E+00,0.228253953,1.83E-01,-0.02442415,4.68E+00,4.66E+00,1.007915273,0.300036761,0.095852367,0.215285657,4.644991274,0.082302137,-0.080089514,0.097004808,0.125582149,-0.042368247,0.499674214,0.049787494,0.296228405,0.236165835,0.089415951,0.014471728,0.505159851,-0.15759238,0.205605551,32.951538,34.78935,26.882437,18.14369,33.595245,29.027685,14.694362,23.851507,28.907745,32.502563,20.40538,10.614034,36.380707,21.857409,3.495038,3.5493112,3.2914732,2.8983228,3.5143845,3.3682501,2.6874638,3.1718473,3.3641095,3.481319,3.0157986,2.3621771,3.5940385,3.08454,3.03001,2.79E+00,4.824815,3.88E+00,4.542105,-8.92E-01,3.6497575,0.155678211,0.193740757,5.08618,-4.47E-01,4.64E+00,0.085531271,0.09815321,0.231863585,0.20424312,4.312880792,4.896125757,0.326350028,0.280490079,1.336156865,2.960255707,0.416,0.298,2.054773497,2.516271135,0.19,0.145
19,2.327125,2.888435,5.21556,0.303854233,0.135576387,-0.0918186,3.27304,3.1812214,1.040244529,0.543379019,0.116718794,0.425671087,2.349231674,2.33006,1.48E+00,3.81E+00,0.303471491,1.86E-01,-0.0729658,3.27E+00,3.19E+00,1.03181046,0.432438587,0.124503112,0.309420068,3.231852439,2.338035,2.04E+00,4.38E+00,0.302436354,1.61E-01,-0.0795354,3.28E+00,3.20E+00,1.034603285,0.481903317,0.119795077,0.356349579,2.806233149,0.438166561,0.379492064,0.558809851,0.271906728,0.211328945,0.076792201,0.486871396,0.390778985,0.295240595,0.235398334,0.355477787,0.233182231,0.356898644,0.346379015,6.5773945,17.42306,6.107021,4.4426985,7.6853933,31.048822,2.9349415,3.4403412,9.112799,3.0896373,3.107542,3.4682114,4.2662296,2.948429,1.8836387,2.8577945,1.8094391,1.491262,2.0393217,3.435561,1.0766876,1.2355707,2.2096798,1.1280537,1.1338321,1.243639,1.4507304,1.0812725,2.19724,3.93E+00,5.443375,4.47E+00,5.46004,-1.17E+00,4.294465,0.129505788,0.164655383,3.367615,2.02E-01,3.57E+00,0.110421849,0.110985251,0.420959671,0.312401735,2.375524474,3.201006547,0.539682225,0.435569577,0.612179345,0.791300527,0.489,0.392,1.875805127,2.281665805,0.249,0.182
20,2.416865,2.209165,4.62603,0.292571898,0.152853912,0.127929,2.756975,2.884904,0.9484447,0.535998378,0.129097333,0.416336207,2.401904961,2.46693,1.71E+00,4.18E+00,0.286634311,1.69E-01,0.1450885,2.81E+00,2.95E+00,0.94288271,0.493294223,0.129028591,0.368250532,2.715542578,2.47637,2.03E+00,4.51E+00,0.285541652,1.57E-01,0.1382885,2.86E+00,3.00E+00,0.945687379,0.51437372,0.125480359,0.389790452,2.565481003,0.089614658,0.087921313,0.195594561,0.36423169,0.08427676,-0.141878569,0.247617559,0.392841171,0.330053365,0.237913091,0.57260134,-0.01385655,0.184535921,0.050377658,5.782255,6.539801,2.030862,1.0597296,5.96615,35.630188,3.1546013,1.5987704,2.0553625,1.8447378,1.0042998,2.4890795,3.7988796,2.328747,1.7547938,1.8779068,0.7084604,0.05801376,1.7861018,3.5731933,1.1488621,0.46923482,0.7204522,0.6123371,0.004290542,0.911913,1.3347062,0.84533036,2.321565,4.29E+00,4.710445,4.57E+00,4.98748,-5.63E-01,4.4245105,0.141776364,0.159815822,3.09269,-3.85E-03,3.09E+00,0.120326927,0.122978024,0.418708598,0.371909731,2.388295834,2.688824512,0.537895644,0.497520178,0.926701712,0.536083954,0.522,0.391,2.508260354,1.930992405,0.161,0.07
21,4.15227,1.80136,5.95363,0.170294027,0.118769017,-0.01411545,4.368165,4.35404955,1.003405238,0.481269987,0.088116773,0.355022253,2.816724843,4.00086,2.44E-01,4.24E+00,0.176738696,1.67E-01,-0.02842325,2.86E+00,2.83E+00,1.00712958,0.513019508,0.133100459,0.388462586,2.574250482,4.0572,9.25E-01,4.98E+00,0.174284428,1.42E-01,-0.02127625,3.50E+00,3.48E+00,1.005257846,0.497361068,0.109178106,0.371521983,2.69163077,-0.028093668,0.029393592,0.009645851,-0.232316184,-0.148479066,-0.191355611,-0.033868286,0.305472262,0.222689849,0.252385011,0.110732863,0.091872997,0.299983058,0.029885961,3.60937,2.4317317,6.865993,14.038216,6.6584806,27.92411,2.7678702,1.7403368,2.6589055,4.6767564,2.9477105,4.2492623,8.397946,8.558291,1.2835332,0.8886036,1.9265807,2.6417832,1.8958913,3.3294904,1.0180781,0.55407864,0.9779146,1.5426048,1.0810288,1.4467454,2.1279871,2.1469007,3.993125,4.09E+00,5.63243,4.84E+00,5.337695,-6.57E-01,4.680937,0.132474182,0.151060948,3.857595,-7.24E-01,3.13E+00,0.099195311,0.120250769,0.359256162,0.387885737,2.783529152,2.578078815,0.485435903,0.512033386,0.87187848,0.466958071,-0.04,0.314,2.807496262,2.440268118,0.17,0.199
22,3.29532,-0.573469,2.721851,0.214579094,0.259788938,0.219211,3.33232,3.551531,0.93564241,0.271220815,0.129481491,0.198982938,5.02555651,3.43077,-2.54E-01,3.18E+00,0.206107312,2.23E-01,0.248946,3.32E+00,3.57E+00,0.930007416,0.324647018,0.122087511,0.230610472,4.336316521,3.388025,-4.54E-01,2.93E+00,0.208707663,2.41E-01,0.2352025,3.31E+00,3.55E+00,0.932933167,0.298454762,0.125971356,0.214588631,4.660079135,0.671822043,0.520697402,0.46725071,0.369516014,0.497863848,-0.067877036,0.679597146,0.535644994,0.453966639,0.513822704,0.451143162,0.099003599,0.393714043,0.283026191,6.479931,3.9999275,1.7944447,3.6235354,6.038561,30.858791,3.2299511,1.1782058,4.0634885,4.4438744,2.726983,1.8295962,4.8606343,6.058652,1.8687098,1.3862762,0.5846956,1.2874502,1.7981657,3.4294217,1.172467,0.1639928,1.4020418,1.4915266,1.0031959,0.6040953,1.5811689,1.8014873,3.471225,3.06E+00,2.67472,2.89E+00,2.98213,3.54E-02,3.01750795,0.237114673,0.234334687,3.78026,-3.52E-01,3.43E+00,0.120340458,0.127535529,0.204819831,0.228515808,4.882339748,4.376064879,0.281495854,0.321039948,0.99880195,0.344883339,0.688,0.537,2.441041005,2.126781679,0.29,0.336
23,3.919035,0.5497165,4.4687515,0.1804288,0.158233632,0.133518,2.323455,2.456973,0.966504716,0.577058313,0.149676155,0.472229292,2.117615354,3.775845,-7.79E-01,3.00E+00,0.187271136,2.36E-01,0.0888357,1.32E+00,1.41E+00,0.976747241,0.625106607,0.261817823,0.551722872,1.812504159,3.81616,-3.26E-01,3.49E+00,0.18529275,2.03E-01,0.098462,1.67E+00,1.77E+00,0.974528681,0.602267269,0.207497612,0.510955172,1.957118852,0.365568195,0.351345551,0.294461995,0.469308062,0.235797078,0.048594823,0.265699152,0.152501974,0.433120245,0.442428889,0.024967771,-0.059227926,0.084251205,0.297070041,6.0511417,8.355242,4.921005,14.123215,8.058709,38.62137,4.0182457,2.1869304,7.79301,6.447685,7.6563783,6.3099747,7.593189,3.7886443,1.800247,2.122889,1.5935128,2.64782,2.0867534,3.6538057,1.3908454,0.7824989,2.0532272,1.8637211,2.0355392,1.8421316,2.0272517,1.3320082,3.980955,2.92E+00,4.2955,3.43E+00,4.02947,-1.01E+00,3.02089,0.175483818,0.234072337,2.179905,-8.00E-01,1.38E+00,0.168575596,0.268599307,0.479929517,0.568364391,2.083639294,1.759434644,0.582171325,0.633297566,0.998546145,0.42481358,0.098,0.147,3.090076265,3.12630653,0.018,0.12
24,2.2645,0.1628835,2.4273835,0.312257355,0.291304106,-0.08814805,4.001565,3.91341695,1.0396936,0.199449226,0.127629823,0.16104579,6.209414113,2.230705,-1.27E+00,9.61E-01,0.316988029,7.36E-01,-0.1162465,2.06E+00,1.95E+00,1.053493728,0.131705983,0.281883451,0.127920362,7.817363771,2.232905,-1.01E+00,1.22E+00,0.316675712,5.79E-01,-0.1114045,2.47E+00,2.36E+00,1.051157755,0.145096439,0.228107738,0.134357383,7.442836226,0.321718196,0.335984293,0.302878667,0.191228444,0.126134331,-0.02995954,0.38650121,0.21054215,0.10598581,0.221209623,0.314212064,0.425320669,0.318982948,0.198831779,2.4251504,5.65602,4.2003603,3.2421482,7.6554914,38.90524,4.008736,1.2639934,5.10242,8.0390625,2.0752013,4.742387,8.119252,6.8779454,0.8858935,1.7327205,1.4351703,1.1762362,2.0354233,3.661129,1.388476,0.23427606,1.629715,2.0843124,0.73005813,1.5565406,2.094238,1.9283199,2.270405,1.02E+00,2.61659,1.28E+00,1.917625,-8.51E-01,1.0667865,0.368740907,0.662838142,3.257325,-1.22E+00,2.04E+00,0.15663052,0.262678501,0.152851495,0.135732071,6.542297782,7.367455578,0.18293496,0.147656544,0.857680846,0.399906279,0.375,0.207,1.833426064,3.03372159,0.263,0.231
25,3.59513,-0.5095905,3.0855395,0.196684621,0.229167956,-0.01640545,3.711535,3.69512955,1.00457367,0.30192896,0.120573844,0.216804625,4.612447723,3.477985,-1.92E+00,1.56E+00,0.203309325,4.55E-01,-0.0546001,2.05E+00,1.99E+00,1.015822647,0.27758375,0.229462305,0.202762497,4.931878502,3.523845,-1.58E+00,1.94E+00,0.200663418,3.64E-01,-0.0453395,2.45E+00,2.40E+00,1.012949615,0.289492248,0.187758736,0.21015488,4.758395339,0.072993491,0.179373128,0.333372301,0.136950269,0.458492655,0.146559375,0.369176784,0.310637456,0.11811927,0.112604486,-0.077104009,0.380317201,0.230781715,0.295974068,3.9547172,3.9498773,7.317968,6.2886014,5.234641,34.387604,6.516309,3.6849406,5.737367,3.6321363,3.94179,3.4713507,13.357561,2.9202967,1.374909,1.3736845,1.9903327,1.8387387,1.6552982,3.5376961,1.8743081,1.3042544,1.7470005,1.289821,1.371635,1.2445438,2.5920825,1.0716852,3.82664,1.54E+00,3.02509,1.91E+00,2.546165,-9.53E-01,1.5933115,0.277714438,0.443796948,3.070945,-1.05E+00,2.02E+00,0.145455073,0.225201968,0.215269056,0.204770811,4.645349482,4.883508507,0.29936071,0.281410446,1.906111225,1.175399071,0.344,0.376,3.020776826,2.876209228,0.194,0.24
26,3.386025,-0.1988525,3.1871725,0.208830939,0.221860217,0.3083035,1.64718,1.9554835,0.912970464,0.541426444,0.190027348,0.423173551,2.36309665,3.431545,-6.85E-01,2.75E+00,0.206060763,2.57E-01,0.315367,2.00E+00,2.31E+00,0.912194234,0.431185872,0.171959261,0.309248072,3.233649909,3.391105,-6.41E-01,2.75E+00,0.208518103,2.57E-01,0.307006,1.71E+00,2.01E+00,0.913444435,0.481023733,0.19083189,0.355404501,2.813695376,0.063638951,0.046637147,0.470104174,-0.046925055,0.12073069,0.236376806,0.286127181,0.303163322,0.512400181,0.492318155,0.185133782,0.183105002,0.417539601,0.22975666,4.1814837,4.2053437,2.0490541,1.8288327,6.8539853,29.247343,3.551598,1.0161664,2.568451,2.418233,1.1663691,2.3072805,2.6926334,4.3646398,1.4306661,1.4363561,0.7173783,0.6036779,1.9248303,3.3757887,1.2673976,0.016037162,0.943303,0.8830371,0.15389557,0.8360696,0.99051964,1.4735357,3.53313,2.70E+00,3.139205,2.73E+00,3.24946,-7.03E-01,2.5463885,0.217607474,0.277690062,2.01637,1.01E-01,2.12E+00,0.184574432,0.187098392,0.418415794,0.312224083,2.389967142,3.202827888,0.537662284,0.435363651,0.81838992,0.484408152,0.44,0.291,2.424115423,2.214025223,0.233,0.174
27,2.67515,0.519599,3.194749,0.264324162,0.221334064,-0.1036825,2.97224,2.8685575,1.039518515,0.407425326,0.141166905,0.289161377,3.458276512,2.68568,-2.17E-01,2.47E+00,0.263287801,2.86E-01,-0.0926499,2.48E+00,2.39E+00,1.035099693,0.379662933,0.173312292,0.268588968,3.723161115,2.70204,6.34E-02,2.77E+00,0.261693676,2.56E-01,-0.0927699,2.65E+00,2.56E+00,1.034929472,0.396735576,0.159698728,0.280138096,3.569668005,0.251655206,0.387872173,0.4071576,0.248750343,0.238180522,0.409981469,0.493152976,0.557088741,0.452385032,0.403297371,0.232353868,0.298945815,0.272484583,0.531832233,10.261585,7.1843224,1.8717304,1.9444745,5.0177445,15.334941,5.548912,2.9916048,6.422718,6.0151005,3.6074867,3.5547106,6.7314725,2.1469178,2.3284073,1.9719012,0.62686336,0.66499174,1.6129805,2.730134,1.7136018,1.0958099,1.8598413,1.794273,1.2830113,1.2682737,1.906794,0.76403326,2.671985,2.51E+00,3.247895,2.79E+00,3.218455,-7.15E-01,2.503509,0.219703796,0.282446271,2.839765,-4.47E-01,2.39E+00,0.141867023,0.172496444,0.294260617,0.271658665,3.398348074,3.681090017,0.413814301,0.384524293,1.062542551,0.884320766,0.537,0.423,1.800502068,3.320670922,0.254,0.256
28,1.84014,0.150757,1.990897,0.384267926,0.355169947,-0.1039815,1.74951,1.6455285,1.058134429,0.437566675,0.240364759,0.314130775,3.183387558,1.9166,4.40E-01,2.36E+00,0.36893811,3.00E-01,-0.07192775,2.20E+00,2.13E+00,1.038241926,0.404723881,0.1904788,0.287310333,3.48055703,1.891525,2.29E-01,2.12E+00,0.373828938,3.33E-01,-0.08593655,1.92E+00,1.83E+00,1.046480277,0.421851733,0.218659385,0.30127062,3.31927488,0.405491313,0.14462924,-0.153779198,-0.072308488,0.310448297,-0.037409773,0.041706984,-0.022952061,-0.075248727,-0.092967034,0.090510173,0.102238278,0.345641265,0.106455599,9.406218,5.327341,9.923823,10.778436,12.942163,32.548553,19.227947,6.50129,14.46486,9.570329,5.3553424,8.848126,15.7242565,4.9222803,2.241371,1.6728523,2.2949383,2.3775475,2.5604904,3.482733,2.9563649,1.8720006,2.6717222,2.2586675,1.6780946,2.1802058,2.7552044,1.5937719,1.84593,2.43E+00,2.06424,2.16E+00,2.230155,-9.15E-02,2.13861825,0.317066204,0.330637215,1.83215,7.70E-02,1.91E+00,0.21552862,0.211741273,0.316039323,0.290838892,3.164163211,3.438329696,0.439756187,0.40954083,4.165012339,1.292523404,0.035,-0.067,3.788100282,4.94325723,0.027,-0.073
29,2.33724,0.90254,3.23978,0.302539226,0.218257654,-0.0681825,2.82718,2.7589975,1.029601906,0.426731503,0.144545897,0.30488167,3.27996104,2.386445,5.39E-01,2.93E+00,0.296301311,2.42E-01,-0.0520366,2.69E+00,2.64E+00,1.022044538,0.40536167,0.153673146,0.287364298,3.479903404,2.373495,7.28E-01,3.10E+00,0.297917957,2.28E-01,-0.0549273,2.76E+00,2.71E+00,1.023411801,0.417928522,0.148242126,0.297131001,3.365518901,-0.007569874,-0.12796421,0.327162357,-0.118624005,-0.052827793,0.158661571,0.128329095,-0.168010648,0.200163644,-0.045845789,0.126645537,-0.184054231,0.155798705,0.163427167,7.102833,9.817964,6.5034647,8.650468,9.316204,36.49847,8.9360285,12.123052,8.618182,11.088239,4.293809,11.216919,11.945783,8.883299,1.9604937,2.2842138,1.8723351,2.1576135,2.2317553,3.5972703,2.1900911,2.4951088,2.1538742,2.405885,1.4571742,2.4174232,2.4803784,2.1841729,2.30726,3.00E+00,3.31482,3.13E+00,3.407965,-4.87E-01,2.920883,0.207486515,0.24208665,2.87861,-2.47E-01,2.63E+00,0.138223824,0.154030193,0.307382684,0.288168846,3.253273699,3.47018775,0.429698606,0.406167268,2.641897564,2.976410698,0.223,-0.198,3.610995218,2.424062409,-0.071,-0.091
30,2.508585,3.238865,5.74745,0.281874755,0.123029653,0.0646053,2.98075,3.0453553,0.974575116,0.588686208,0.120595429,0.490009314,2.040777537,2.422745,5.37E-01,2.96E+00,0.291861827,2.39E-01,0.03160335,1.80E+00,1.84E+00,0.987040271,0.537668529,0.202330299,0.417480678,2.395320437,2.45109,1.31E+00,3.76E+00,0.288486666,1.88E-01,0.0453931,2.13E+00,2.18E+00,0.981650877,0.560590744,0.169352206,0.447958479,2.232349755,0.282465348,0.173398604,0.152252048,-0.088453264,0.053978441,0.073440189,-0.3385314,-0.013738038,-0.017228039,0.006234007,-0.272135473,0.010854176,0.245374704,-0.135551682,31.495535,26.914682,15.903099,16.587793,30.36155,30.736692,20.768356,14.611177,13.587091,26.78454,22.007404,15.169691,19.99517,21.524303,3.4498458,3.292672,2.766514,2.8086672,3.413177,3.4254572,3.0334306,2.6817868,2.6091201,3.2878249,3.091379,2.7192993,2.9954908,3.0691826,2.34178,3.01E+00,5.936135,3.81E+00,4.960915,-1.66E+00,3.305345,0.142535557,0.213928283,2.60219,-5.64E-01,2.04E+00,0.14111233,0.182424419,0.494982545,0.421014594,2.020273261,2.375214574,0.591828539,0.53972565,1.054866826,1.308928816,0.263,0.105,3.105742706,3.158989003,0.245,0.074
31,3.550115,-0.632693,2.917422,0.199178557,0.242373843,-0.08028735,2.60973,2.52944265,1.02287309,0.42020485,0.158467649,0.29946186,3.339323407,3.58001,-1.18E+00,2.40E+00,0.197515309,2.94E-01,-0.0508557,2.60E+00,2.55E+00,1.01430684,0.345646211,0.167426219,0.244886358,4.083526769,3.557165,-1.04E+00,2.51E+00,0.198783801,2.81E-01,-0.0693119,2.51E+00,2.44E+00,1.019676226,0.379400014,0.169925849,0.267766325,3.734599565,0.171789512,0.36327914,0.51439442,0.356514612,0.102026643,0.197060599,0.190019815,0.513187841,0.150072959,-0.068357297,0.01836097,-0.050398374,0.16037497,0.474058064,7.1951876,7.2045107,7.5871544,5.3300366,7.863076,31.57796,6.5762095,5.978308,3.7889853,3.6290038,7.3687615,2.163032,4.4137907,4.1368346,1.9734124,1.9747074,2.0264566,1.6733581,2.062178,3.4524593,1.8834585,1.7881377,1.3320982,1.2889582,1.9972496,0.77151096,1.4847339,1.4199309,3.82321,2.36E+00,2.88792,2.50E+00,2.9474,-7.05E-01,2.2421185,0.239908659,0.315374402,2.553155,-1.65E-01,2.39E+00,0.156955812,0.179058756,0.299729162,0.243775048,3.336345362,4.102142568,0.420529883,0.344703978,2.152099517,1.470364067,0.154,0.578,3.294871982,2.349452734,0.2,0.286
