subject,mag_prec,mag_noise3,riskprec_sym,riskprec_coin,riskprec_pool,risknoise_sym,risknoise_coin,risknoise_pool,rnp_sym,rnp_coin,rnp_pool,ip_sym,ip_coin,ip_pool,int_sym,int_coin,int_pool,prior_sym,prior_coin,prior_pool,npc1_left_sd,npc1_right_sd,npc1_left_r,npc1_right_r,npc_int_bil,npc_int_l,npc_int_r,npc_slp_bil,npc_slp_l,npc_slp_r
1,3.46227,0.20423,5.99275,3.45,3.97,0.11799,0.205,0.178,0.56935,0.46163,0.50808,1.756388864,2.16623703,1.968193985,3.375475884,2.666820932,2.688151963,0.109112709,0.145760843,0.140462599,1.44626,1.70758,0.218,0.233,0.224083887,0.25158918,0.274916429,0.151737928,0.133932986,0.065633583
2,3.4251,0.20645,5.37317,4.28,4.85,0.1316,0.165,0.146,0.54841,0.57844,0.56608,1.823453256,1.728787774,1.766534765,3.227835679,2.342959544,2.75974636,0.114815476,0.156924989,0.133560766,2.46684,2.43469,0.215,0.281,0.152537386,0.063149593,0.257324166,0.130574286,0.106377586,0.100329544
3,2.69401,0.26247,1.5123,1.24,1.26,0.46757,0.569,0.559,0.19108,0.17131,0.17079,5.23341009,5.837370848,5.855143744,2.502951912,2.187707818,2.22682389,0.201686686,0.236880934,0.232885771,4.00957,3.7523,0.01,0.119,0.065774877,0.04123422,0.040412751,0.056333977,0.020136031,-0.065777098
4,2.37278,0.29801,4.23676,3.01,3.33,0.1669,0.235,0.212,0.58157,0.46852,0.52191,1.719483467,2.134380603,1.916039164,2.296425331,2.282111231,2.165366199,0.160034135,0.169532283,0.173119313,2.26915,2.1228,0.1,0.09,0.035725501,0.072573316,0.088865762,-0.018774275,-0.020047452,0.11515768
5,2.63306,0.26855,2.21593,2.09,2.07,0.3191,0.339,0.342,0.66227,0.58513,0.62713,1.509958174,1.709021927,1.59456572,0.913144758,1.12007538,0.965864946,0.416443833,0.327977808,0.382605038,3.31289,3.41079,0.015,0.161,0.158726955,0.081575689,0.234668457,0.039494845,0.068863885,0.033811397
6,2.73506,0.25853,1.3618,1.48,1.35,0.51924,0.478,0.524,0.38354,0.40807,0.397,2.607289983,2.450559953,2.518891688,1.305028412,1.326548495,1.247155648,0.316532215,0.305103011,0.327484942,2.72769,1.97817,0.158,0.213,0.229653591,0.190156531,0.319245718,0.263631274,0.261985823,0.125984559
7,2.87581,0.24588,2.0997,1.31,1.62,0.33677,0.539,0.436,0.30065,0.17363,0.24191,3.326126725,5.75937338,4.133768757,2.523437269,2.293585572,2.299087027,0.176785401,0.225232245,0.206542003,1.28614,1.80755,0.291,0.166,0.070985324,0.029436813,0.104713568,0.386683823,-0.06543793,0.349455649
8,3.27792,0.21572,4.57425,3.51,3.88,0.15458,0.202,0.182,0.64327,0.59742,0.61959,1.554557184,1.673864283,1.613970529,2.018116725,1.808123483,1.857345563,0.184861483,0.203080413,0.198406221,2.28744,2.01055,0.229,0.201,0.083212778,0.048844483,0.181039942,0.340713229,0.224297533,0.128924112
9,2.61883,0.27001,2.52965,2.3,2.32,0.27953,0.307,0.305,0.32663,0.36996,0.34623,3.061568135,2.702994918,2.888253473,2.830494311,2.287028891,2.460712605,0.153652013,0.182759044,0.173524312,2.71426,3.59492,0.28,0.154,0.161991693,0.048655927,0.211207141,0.093737411,-0.025344332,0.12065124
10,2.58369,0.27368,5.56854,3.32,4.14,0.12698,0.213,0.171,0.5664,0.51907,0.54076,1.765536723,1.926522434,1.849249205,3.165462939,2.17697888,2.545188047,0.11643306,0.172440566,0.146038358,2.71755,2.66411,-0.035,-0.065,0.074104371,0.03786595,0.121140564,0.024863673,-0.004854446,-0.033686893
11,3.32932,0.21239,3.83205,2.8,3.25,0.18452,0.252,0.218,0.33897,0.32979,0.33352,2.950113579,3.032232633,2.99832094,4.14567904,3.106037734,3.568670448,0.10369241,0.139600655,0.121075323,2.43794,1.83313,0.195,0.253,0.290799857,0.4195507,0.397218054,-0.019334545,0.069570858,0.020388348
12,3.57402,0.19785,2.43421,1.66,1.9,0.29049,0.425,0.373,0.57932,0.66527,0.62427,1.726161707,1.503149097,1.601870985,1.328835913,0.676553427,0.895227393,0.27664825,0.564338505,0.412309967,1.61228,1.88097,0.186,0.186,0.287919711,0.038369842,0.372500275,0.048689526,-0.014868708,0.088553126
13,2.80873,0.25175,5.96432,3.11,3.69,0.11856,0.227,0.192,0.5447,0.38641,0.45902,1.835872958,2.587924743,2.178554311,3.623444251,2.957163084,2.873260924,0.102421504,0.13934787,0.135534041,3.36303,3.63734,-0.022,-0.104,0.065735871,0.043998692,0.165518136,0.104102831,0.032358092,0.029850368
14,2.63498,0.26835,3.4264,2.32,2.68,0.20637,0.305,0.264,0.27812,0.29933,0.28677,3.595570257,3.340794441,3.48711511,4.384773001,2.798404034,3.347520406,0.104115768,0.159626097,0.135157324,2.95442,3.43728,0.131,0.112,0.032730855,0.029716142,0.107022641,-0.066306628,-0.053525746,0.056948631
15,3.44195,0.20544,3.62517,3.33,2.98,0.19505,0.212,0.237,0.39568,0.55049,0.46901,2.527294784,1.816563425,2.1321507,3.361074463,1.987831806,2.256250943,0.121649571,0.186298879,0.171418787,2.33772,1.57042,0.173,0.133,0.49814749,0.484170919,0.583020845,0.009887406,0.050020556,0.024998867
16,3.25439,0.21728,5.29801,3.2,3.87,0.13347,0.221,0.183,0.45738,0.5188,0.48858,2.186365823,1.927525058,2.046747718,4.144319177,2.099957845,2.77189545,0.09407401,0.178789696,0.137778871,1.98327,1.77783,0.464,0.494,0.448464009,0.238545841,0.565138738,0.07532291,0.086279533,0.066001979
17,2.66803,0.26503,3.41662,2.99,3.24,0.20696,0.237,0.218,0.34388,0.35077,0.34856,2.90799116,2.850870941,2.868946523,3.647113794,3.132397377,3.414781467,0.117331108,0.135749355,0.124775462,3.42186,3.44648,0.223,0.099,0.156084169,0.065886702,0.118116727,-0.03821226,0.005054923,0.097736675
18,3.0979,0.22825,4.83172,2.77,3.87,0.14635,0.255,0.183,0.32607,0.27041,0.30004,3.066826142,3.698088088,3.332888948,5.414634147,3.62265019,4.658858787,0.080364405,0.127048965,0.095813144,2.05477,2.51627,0.19,0.145,0.032743086,0.031466505,0.111950454,-0.030402176,-0.018761165,0.133106163
19,2.33804,0.30244,5.21556,3.81,4.38,0.13558,0.186,0.161,0.54338,0.43244,0.4819,1.840332732,2.312459532,2.075119319,3.181211983,3.193967541,3.19748171,0.116719095,0.124315835,0.119941478,1.87581,2.28167,0.249,0.182,0.113665182,0.136375403,0.23050832,0.138968601,0.150849998,0.059816022
20,2.47637,0.28554,4.62603,4.18,4.51,0.15285,0.169,0.157,0.536,0.49329,0.51437,1.865671642,2.027205092,1.944125824,2.88489,2.953830618,2.998304051,0.12909787,0.128922417,0.125507774,2.50826,1.93099,0.161,0.07,0.181324003,0.086187618,0.201433982,0.003297567,0.016291488,0.012120221
21,4.0572,0.17428,5.95363,4.24,4.98,0.11877,0.167,0.142,0.48127,0.51302,0.49736,2.077835726,1.949241745,2.010616053,4.354049389,2.8299475,3.478237022,0.088116775,0.13306916,0.109220458,2.8075,2.44027,0.17,0.199,0.21823622,0.032661291,0.336213563,0.083399211,-0.083403494,0.029549596
22,3.38803,0.20871,2.72185,3.18,2.93,0.25979,0.223,0.241,0.27122,0.32465,0.29845,3.687043728,3.080240259,3.350644999,3.55153787,3.577524168,3.542817893,0.129481352,0.12179808,0.12619725,2.44104,2.12678,0.29,0.336,0.358565087,0.408782675,0.332278436,0.069074447,0.058054009,0.039783166
23,3.81616,0.18529,4.46875,3,3.49,0.15823,0.236,0.203,0.57706,0.62511,0.60227,1.732922053,1.59971845,1.660384877,2.456959111,1.409482934,1.769602508,0.149676959,0.261963587,0.207554733,3.09008,3.12631,0.018,0.12,0.088614227,0.050243121,0.157115225,-0.002438703,0.028166236,0.039317211
24,2.23291,0.31668,2.42738,0.961,1.22,0.2913,0.736,0.579,0.19945,0.13171,0.1451,5.013787917,7.592437932,6.891798759,3.91340189,1.948093786,2.355005185,0.12763019,0.282009383,0.228486298,1.83343,3.03372,0.263,0.231,0.096768323,0.074254197,0.172515292,0.176839651,0.241584697,0.065849263
25,3.52385,0.20066,3.08554,1.56,1.94,0.22917,0.455,0.364,0.30193,0.27758,0.28949,3.312025966,3.602565026,3.454350755,3.695119519,1.999367915,2.404890978,0.120574046,0.228463402,0.187609317,3.02078,2.87621,0.194,0.24,0.03289372,0.029397797,0.135190974,0.011000074,-0.053151565,-0.000461555
26,3.39111,0.20852,3.18717,2.75,2.75,0.22186,0.257,0.257,0.54143,0.43119,0.48102,1.846960826,2.319163246,2.078915638,1.955461035,2.31331774,2.012577682,0.19002926,0.171804756,0.190663989,2.42412,2.21403,0.233,0.174,0.300919842,0.286654229,0.348038335,-0.043690702,-0.032940075,-0.042506028
27,2.70204,0.26169,3.19475,2.47,2.77,0.22133,0.286,0.256,0.40743,0.37966,0.39674,2.454409346,2.633935627,2.520542421,2.868521746,2.392143534,2.560793325,0.14116813,0.173259447,0.159525919,1.8005,3.32067,0.254,0.256,0.119249967,0.053406361,0.25678454,0.153772652,-0.013063749,0.097198848
28,1.89153,0.37383,1.9909,2.36,2.12,0.35517,0.3,0.333,0.43757,0.40472,0.42185,2.28534863,2.47084404,2.370510845,1.645515853,2.134761149,1.829783614,0.240366008,0.190109048,0.218778937,3.7881,4.94326,0.027,-0.073,0.032013418,0.029092279,0.04841459,0.002877916,0.00574812,0.176768484
29,2.3735,0.29792,3.23978,2.93,3.1,0.21826,0.242,0.228,0.42673,0.40536,0.41793,2.343402151,2.466942964,2.392745197,2.759008908,2.645730573,2.704568106,0.144545467,0.153313304,0.148472513,3.611,2.42406,-0.071,-0.091,0.053705052,0.042402542,0.162097671,-0.00361887,0.064934048,0.02840918
30,2.45109,0.28849,5.74745,2.96,3.76,0.12303,0.239,0.188,0.58869,0.53767,0.56059,1.698686915,1.859876876,1.783834888,3.045318279,1.836710458,2.176158199,0.120596866,0.202628094,0.169628233,3.10574,3.15899,0.245,0.074,0.108002799,0.070060118,0.24079482,0.207300572,0.122710771,0.090924341
31,3.55717,0.19878,2.91742,2.4,2.51,0.24237,0.294,0.281,0.4202,0.34565,0.3794,2.379819134,2.893099957,2.635740643,2.529474589,2.549588584,2.432602196,0.158466252,0.167564896,0.170416011,3.29487,2.34945,0.2,0.286,0.34148001,0.424181706,0.450286063,0.009801966,0.023491411,0.014770159
32,2.84313,0.24871,2.2648,2.25,2.15,0.31222,0.314,0.329,0.34735,0.40839,0.37571,2.87894055,2.448639781,2.661627319,2.394850165,2.014948527,2.104716076,0.178113054,0.200813638,0.197594541,2.92964,2.69113,0.189,0.146,0.105256555,0.072763416,0.187189044,0.205073595,0.216475497,0.123411384
33,3.14502,0.22483,2.91595,2.55,2.65,0.2425,0.277,0.266,0.49945,0.51257,0.50774,2.002202423,1.950953041,1.969511955,2.024391832,1.704210879,1.7961323,0.187429689,0.221022414,0.210260371,2.59117,2.94529,0.156,0.243,0.0494321,0.070830027,0.159224095,0.055705016,0.138928966,0.098947197
34,2.77228,0.25506,4.70736,3.11,3.14,0.15021,0.228,0.225,0.53488,0.34562,0.43458,1.869578223,2.893351079,2.3010723,2.945455671,3.304111811,2.616798227,0.126504444,0.12930354,0.151489359,1.94521,1.51647,0.192,0.111,0.166026986,0.05575595,0.275071069,0.11358973,-0.042920817,0.003272769
35,3.55122,0.19912,5.86603,2.82,3.39,0.12054,0.251,0.209,0.63454,0.49722,0.55977,1.575944779,2.011182173,1.786448005,2.668192794,1.970398,1.966977306,0.139015985,0.192816837,0.187712211,2.99154,2.56124,0.206,0.268,0.177150382,0.082406255,0.273863121,0.067524952,0.104254839,0.053876083
36,3.81072,0.18556,5.0276,2.96,3.64,0.14065,0.239,0.194,0.41024,0.41238,0.41236,2.437597504,2.424947864,2.425065477,4.47965658,2.621997673,3.22452503,0.090191152,0.153826009,0.125084438,3.41289,3.02402,0.13,0.234,0.172920672,0.09083114,0.107617808,0.069163988,-0.069119914,0.128296281
37,3.92391,0.1802,2.59826,2.73,2.61,0.27215,0.259,0.271,0.44365,0.42476,0.43752,2.254029077,2.354270647,2.285609801,2.111656089,2.337510563,2.157511764,0.186462362,0.170870302,0.183331977,2.33524,0.97376,0.203,0.158,0.164671192,0.0689569,0.291189682,0.067138875,-0.115589648,0.02270889
38,3.44614,0.20519,1.61991,1.29,1.19,0.43651,0.548,0.594,0.16817,0.24328,0.18061,5.946363799,4.11048997,5.536791983,2.887942998,1.823469484,2.03658417,0.180221826,0.260012262,0.251287851,2.47589,2.33948,0.275,0.25,0.391377913,0.34414236,0.49674041,0.027071993,0.021132269,0.042736423
39,2.58235,0.27382,0.75993,1.02,0.793,0.93049,0.694,0.892,0.19983,0.19002,0.1786,5.004253616,5.262603936,5.599104143,1.223706368,1.693838468,1.366027042,0.407965461,0.298435907,0.375645127,1.26287,2.47424,0.265,0.199,0.171295993,0.04591158,0.325437378,0.10365866,0.101259867,0.086862839
40,3.33424,0.21207,4.18101,3.17,3.44,0.16912,0.223,0.205,0.54523,0.50066,0.51814,1.834088366,1.99736348,1.929980314,2.535981393,2.193094922,2.261833722,0.146311608,0.172890672,0.166049722,2.91446,2.48246,0.081,0.143,0.183102182,0.200536113,0.203303548,0.024465394,0.051776365,-0.016270124
41,3.05569,0.23141,5.29138,2.84,3.59,0.13363,0.249,0.197,0.43783,0.44547,0.44372,2.283991504,2.244820078,2.253673488,4.370280761,2.296496063,2.917095951,0.090485961,0.171225626,0.134971257,2.38551,2.89855,0.102,0.122,0.326869065,0.373418925,0.361759963,0.010484973,0.002970109,0.033277415
42,3.59698,0.19658,5.97987,2.9,3.67,0.11825,0.244,0.193,0.56709,0.49584,0.52555,1.763388527,2.016779606,1.902768528,3.39200506,2.034355756,2.360947501,0.10863848,0.186907149,0.158497376,3.80306,2.84779,0.043,-0.061,0.042046119,0.039846733,0.118937985,0.079547467,0.026148336,0.106587379
43,3.89981,0.18132,2.88483,3.21,3.01,0.24511,0.22,0.235,0.32744,0.35012,0.33932,3.053994625,2.856163601,2.947070612,3.220769742,3.368828637,3.253243109,0.13492899,0.126297108,0.132094389,2.29397,2.77782,0.203,0.178,0.095733663,0.040108505,0.163643591,0.04424127,-0.027362179,0.055159704
44,2.84308,0.24871,5.39295,4.35,4.78,0.13112,0.163,0.148,0.54181,0.45444,0.49497,1.845665455,2.200510518,2.020324464,3.305014898,3.430798835,3.361573834,0.112416543,0.113875444,0.113170882,2.15992,2.14076,0.059,0.129,0.028869609,0.029320013,0.032699778,-0.005935348,0.022023567,0.121572514
45,2.75982,0.25621,0.34048,0.0649,0.109,2.07682,10.9,6.49,0.45203,0.00997,0.15199,2.21224255,100.3009027,6.579380222,0.270343411,0.299070538,0.20534952,,,,1.6386,2.24199,0.296,0.273,0.058694602,0.042588338,0.06857676,0.352759598,0.073476021,0.420353662
46,3.46493,0.20408,3.06014,2.03,2.35,0.23107,0.349,0.302,0.36801,0.32949,0.34873,2.717317464,3.034993475,2.86754796,3.059054162,2.253724827,2.475624644,0.13687026,0.192449587,0.172083677,1.33777,1.33701,0.288,0.317,0.164991002,0.182134233,0.228911857,0.225993297,0.044162528,0.145886469
47,2.99784,0.23587,4.86588,3.48,4.18,0.14532,0.203,0.169,0.37367,0.39349,0.38469,2.676158107,2.541360644,2.599495698,4.789885776,3.245794693,3.993226999,0.086979032,0.126200673,0.103344523,3.52077,3.42043,0.148,0.104,0.15426373,0.067155057,0.146223428,0.03046484,0.041576673,-0.020615645
48,3.29802,0.2144,4.97174,3.06,3.67,0.14223,0.231,0.193,0.45569,0.37287,0.40992,2.194474314,2.681899858,2.43950039,3.90750189,3.018767863,3.272881265,0.099894438,0.138106251,0.123478224,3.0078,3.10122,-0.171,0.024,0.04662151,0.041519582,0.16754906,0.032881954,-0.032847853,0.019653789
49,3.01291,0.23469,2.35271,1.9,2.05,0.30055,0.373,0.345,0.3359,0.26146,0.29846,2.977076511,3.824676815,3.350532735,2.566669641,2.548800545,2.478694685,0.167965504,0.182319913,0.18037291,2.41853,3.94964,0.23,0.169,0.130339036,0.091754299,0.176626826,0.021834733,0.06428708,-0.046139797
50,2.73687,0.25836,5.0417,3.01,3.75,0.14025,0.235,0.189,0.50173,0.50848,0.50467,1.993103861,1.966645689,1.981492857,3.477225967,2.035751481,2.564439482,0.108975564,0.185436163,0.147518058,3.51223,3.38131,0.006,0.048,0.044773624,0.034134262,0.067366724,-0.000869212,0.021397002,0.091267705
51,2.68997,0.26287,3.01444,3.99,3.4,0.23457,0.177,0.208,0.52612,0.49362,0.51247,1.900707063,2.025849844,1.951333737,1.935951609,2.816897261,2.272944561,0.193239485,0.135162721,0.165727254,3.06006,2.9676,0.254,0.293,0.047762422,0.046644014,0.243283398,-0.055518303,-0.073380322,0.000614736
52,2.74742,0.25737,2.1539,1.09,1.22,0.32829,0.651,0.58,0.67602,0.24947,0.46375,1.479246176,4.008498016,2.156334232,0.843322105,1.513374107,0.937459791,0.460604679,0.311126882,0.414044452,3.36369,2.74676,0.022,0.053,0.070766324,0.040548082,0.099420877,0.025977386,-0.05282564,0.006626975
53,2.18639,0.32341,1.66044,0.433,0.979,0.42586,1.63,0.722,0.07283,0.00032,0.02099,13.73060552,3125,47.64173416,4.349733988,3.48443308,3.782571253,0.141250594,0.298181139,0.193860417,3.12986,3.23509,0.055,0.057,0.059165944,0.055873816,0.22622867,0.120342376,0.059905002,0.064021187
54,4.21712,0.16768,5.4215,3.37,4.07,0.13043,0.21,0.174,0.49083,0.44257,0.46628,2.037365279,2.259529566,2.144634125,3.858250829,2.74707786,3.105283695,0.098848527,0.143446206,0.124780586,1.04433,1.10911,0.436,0.375,0.455480157,0.065933393,0.519273592,0.060830443,-0.132437101,0.055645777
55,2.94378,0.2402,3.9876,2.84,3.28,0.17733,0.249,0.216,0.52215,0.51235,0.51676,1.915158479,1.951790768,1.935134298,2.59114398,1.899242314,2.165379671,0.144655146,0.198349073,0.173568967,2.0529,2.16072,0.144,0.077,0.057972713,0.029247931,0.143464502,0.217186535,-0.020876557,0.161418636
56,4.08368,0.17315,5.38804,3.44,4.13,0.13124,0.206,0.171,0.40725,0.33409,0.36729,2.455494168,2.993205424,2.722644232,4.840227367,3.771426323,4.136622671,0.083674368,0.114504688,0.101280638,1.55486,1.09106,0.379,0.343,0.1480439,0.296099183,0.078010222,0.271193471,0.198275828,0.45501012
57,3.04699,0.23207,3.33944,2.98,3.12,0.21174,0.237,0.227,0.44811,0.44038,0.44559,2.231594921,2.270766157,2.244215534,2.680623726,2.44394952,2.522070821,0.146407495,0.161499892,0.155897471,1.85665,2.44401,0.045,0.096,0.079995056,0.029425566,0.173730342,0.049833393,-0.027617452,0.053017617
58,3.77007,0.18756,4.46379,3.62,3.7,0.15841,0.196,0.191,0.62197,0.50647,0.56057,1.607794588,1.974450609,1.783898532,2.119690581,2.462650477,2.141564276,0.173987209,0.15346101,0.172369326,1.45286,2.11055,0.162,0.29,0.09575728,0.070093247,0.303672678,0.263082232,0.05297958,0.10231092
59,1.45339,0.48652,1.58677,0.709,0.987,0.44563,0.998,0.716,0.12417,0.03709,0.07023,8.053475074,26.96144513,14.23892923,3.310166744,2.335735192,2.621451973,0.168015261,0.291715419,0.235818007,1.94037,2.86913,0.021,0.138,0.060324644,0.066005901,0.088347762,0.147420384,0.121522466,0.152314056
60,3.87092,0.18267,5.39212,3.4,3.45,0.13114,0.208,0.205,0.5422,0.37187,0.44648,1.844337883,2.689111786,2.239741982,3.300626338,3.363317224,2.78194432,0.112548548,0.124066654,0.14124258,1.76506,2.01107,0.381,0.341,0.366999568,0.3221689,0.411491421,0.066502661,0.073212649,-0.002025712
61,2.8612,0.24714,3.37856,2.08,2.61,0.20929,0.34,0.271,0.34048,0.29223,0.31923,2.937030075,3.421962153,3.132537669,3.640056801,2.55884536,2.98021136,0.117929801,0.175828902,0.146974845,2.09729,1.61096,0.264,0.293,0.213992044,0.192417541,0.12465345,0.118636438,0.097719786,0.178604683
62,2.86292,0.24699,4.22899,4.66,4.42,0.1672,0.152,0.16,0.58755,0.64172,0.61015,1.70198281,1.558312036,1.638941244,2.248951213,2.067190947,2.183702991,0.163313634,0.180266064,0.168366354,3.05818,2.29656,0.125,0.15,0.072178463,0.031632562,0.091159174,0.068311787,-0.0434194,0.113552902
63,2.95309,0.23945,4.30875,2.96,3.48,0.16411,0.239,0.203,0.37276,0.3822,0.37979,2.682691276,2.616431188,2.633034045,4.251962821,2.846961292,3.369116101,0.09806078,0.145262826,0.123004085,2.99227,3.3353,0.139,0.134,0.053971572,0.046140604,0.249581406,0.040506001,0.103284212,0.091507733
64,2.81812,0.25091,1.9689,2.32,2.1,0.35914,0.304,0.337,0.22387,0.20472,0.2124,4.466878099,4.884720594,4.708097928,2.946832454,3.679780042,3.253496378,0.164532175,0.134843827,0.151082404,2.02173,1.8282,0.19,0.078,0.029690723,0.02924729,0.061713743,-0.042145877,-0.02385723,0.316335644
